H	120
He	140
Li	182
Be	153
B	192
C	170
N	155
O	152
F	147
Ne	154
Na	227
Mg	173
Al	184
Si	210
P	180
S	180
Cl	175
Ar	188
K	275
Ca	231
Sc	211
Ti	100
V	100
Cr	100
Mn	100
Fe	100
Co	100
Ni	163
Cu	140
Zn	139
Ga	187
Ge	211
As	185
Se	190
Br	185
Kr	202
Rb	303
Sr	249
Y	100
Zr	100
Nb	100
Mo	100
Tc	100
Ru	100
Rh	100
Pd	163
Ag	172
Cd	158
In	193
Sn	217
Sb	206
Te	206
I	198
Xe	216
Cs	343
Ba	268
La	100
Ce	100
Pr	100
Nd	100
Pm	100
Sm	100
Eu	100
Gd	100
Tb	100
Dy	100
Ho	100
Er	100
Tm	100
Yb	100
Lu	100
Hf	100
Ta	100
W	100
Re	100
Os	100
Ir	100
Pt	175
Au	166
Hg	155
Tl	196
Pb	202
Bi	207
Po	197
At	202
Rn	220
Fr	348
Ra	283
Ac	100
Th	100
Pa	100
U	186
Np	100
Pu	100
Am	100
Cm	100
Bk	100
Cf	100
Es	100
Fm	100
Md	100
No	100
Lr	100
Rf	100
Db	100
Sg	100
Bh	100
Hs	100
Mt	100
Ds	100
Rg	100
Cn	100
Uut	100
Fl	100
Uup	100
Lv	100
Uus	100
Uuo	100
